from,to,t0,c0,lanes,initial_SR,initial_FR
0,2,29,80,2,-1,-1
2,0,29,80,2,-1,-1
0,3,5,32,2,-1,-1
3,0,5,32,2,-1,-1
0,10,20,72,2,-1,-1
10,0,20,72,2,-1,-1
0,13,14,85,2,-1,-1
13,0,14,85,2,-1,-1
0,15,42,50,2,-1,-1
15,0,42,50,2,-1,-1
0,17,22,112,2,-1,-1
17,0,22,112,2,-1,-1
1,5,31,40,2,-1,-1
5,1,31,40,2,-1,-1
1,7,15,62,2,-1,-1
7,1,15,62,2,-1,-1
1,13,31,40,2,-1,-1
13,1,31,40,2,-1,-1
1,14,35,52,2,-1,-1
14,1,35,52,2,-1,-1
1,17,22,78,2,-1,-1
17,1,22,78,2,-1,-1
2,6,22,49,2,-1,-1
6,2,22,49,2,-1,-1
2,8,19,81,2,-1,-1
8,2,19,81,2,-1,-1
2,10,20,49,2,-1,-1
10,2,20,49,2,-1,-1
2,13,23,66,2,-1,-1
13,2,23,66,2,-1,-1
2,15,12,45,2,-1,-1
15,2,12,45,2,-1,-1
2,21,23,61,2,-1,-1
21,2,23,61,2,-1,-1
3,10,22,54,2,-1,-1
10,3,22,54,2,-1,-1
3,16,15,72,2,-1,-1
16,3,15,72,2,-1,-1
3,19,22,71,2,-1,-1
19,3,22,71,2,-1,-1
3,21,47,66,2,-1,-1
21,3,47,66,2,-1,-1
4,5,34,66,2,-1,-1
5,4,34,66,2,-1,-1
4,11,1,55,2,-1,-1
11,4,1,55,2,-1,-1
5,10,22,39,2,-1,-1
10,5,22,39,2,-1,-1
5,12,26,0,2,-1,-1
12,5,26,0,2,-1,-1
5,13,7,55,2,-1,-1
13,5,7,55,2,-1,-1
5,16,28,93,2,-1,-1
16,5,28,93,2,-1,-1
5,18,41,47,2,-1,-1
18,5,41,47,2,-1,-1
6,9,11,38,2,-1,-1
9,6,11,38,2,-1,-1
6,21,4,29,2,-1,-1
21,6,4,29,2,-1,-1
7,18,16,86,2,-1,-1
18,7,16,86,2,-1,-1
8,10,9,70,2,-1,-1
10,8,9,70,2,-1,-1
8,14,19,66,2,-1,-1
14,8,19,66,2,-1,-1
8,16,25,23,2,-1,-1
16,8,25,23,2,-1,-1
8,17,25,48,2,-1,-1
17,8,25,48,2,-1,-1
9,11,19,54,2,-1,-1
11,9,19,54,2,-1,-1
9,14,26,26,2,-1,-1
14,9,26,26,2,-1,-1
9,15,12,54,2,-1,-1
15,9,12,54,2,-1,-1
9,21,7,73,2,-1,-1
21,9,7,73,2,-1,-1
10,14,22,34,2,-1,-1
14,10,22,34,2,-1,-1
10,15,30,39,2,-1,-1
15,10,30,39,2,-1,-1
11,20,17,47,2,-1,-1
20,11,17,47,2,-1,-1
12,19,38,83,2,-1,-1
19,12,38,83,2,-1,-1
12,21,32,45,2,-1,-1
21,12,32,45,2,-1,-1
13,19,17,65,2,-1,-1
19,13,17,65,2,-1,-1
13,21,45,38,2,-1,-1
21,13,45,38,2,-1,-1
14,15,14,16,2,-1,-1
15,14,14,16,2,-1,-1
14,17,23,10,2,-1,-1
17,14,23,10,2,-1,-1
14,21,26,42,2,-1,-1
21,14,26,42,2,-1,-1
15,17,36,34,2,-1,-1
17,15,36,34,2,-1,-1
15,21,16,40,2,-1,-1
21,15,16,40,2,-1,-1
16,17,27,58,2,-1,-1
17,16,27,58,2,-1,-1
17,19,10,33,2,-1,-1
19,17,10,33,2,-1,-1
18,19,30,34,2,-1,-1
19,18,30,34,2,-1,-1
