from,to,t0,c0,lanes,initial_SR,initial_FR
0,2,15,60,2,-1,-1
2,0,15,60,2,-1,-1
0,6,21,63,2,-1,-1
6,0,21,63,2,-1,-1
0,11,16,44,2,-1,-1
11,0,16,44,2,-1,-1
0,15,46,34,2,-1,-1
15,0,46,34,2,-1,-1
0,20,11,22,2,-1,-1
20,0,11,22,2,-1,-1
0,25,30,39,2,-1,-1
25,0,30,39,2,-1,-1
0,28,21,88,2,-1,-1
28,0,21,88,2,-1,-1
0,29,20,45,2,-1,-1
29,0,20,45,2,-1,-1
1,2,17,57,2,-1,-1
2,1,17,57,2,-1,-1
1,3,36,73,2,-1,-1
3,1,36,73,2,-1,-1
1,7,19,69,2,-1,-1
7,1,19,69,2,-1,-1
1,8,20,24,2,-1,-1
8,1,20,24,2,-1,-1
1,11,26,78,2,-1,-1
11,1,26,78,2,-1,-1
1,12,21,44,2,-1,-1
12,1,21,44,2,-1,-1
1,13,16,54,2,-1,-1
13,1,16,54,2,-1,-1
1,14,33,58,2,-1,-1
14,1,33,58,2,-1,-1
1,16,22,44,2,-1,-1
16,1,22,44,2,-1,-1
1,17,33,76,2,-1,-1
17,1,33,76,2,-1,-1
1,18,3,93,2,-1,-1
18,1,3,93,2,-1,-1
1,20,17,35,2,-1,-1
20,1,17,35,2,-1,-1
2,6,20,42,2,-1,-1
6,2,20,42,2,-1,-1
2,12,7,39,2,-1,-1
12,2,7,39,2,-1,-1
2,18,17,65,2,-1,-1
18,2,17,65,2,-1,-1
2,21,19,61,2,-1,-1
21,2,19,61,2,-1,-1
2,23,9,5,2,-1,-1
23,2,9,5,2,-1,-1
2,25,33,37,2,-1,-1
25,2,33,37,2,-1,-1
2,28,36,18,2,-1,-1
28,2,36,18,2,-1,-1
2,32,27,70,2,-1,-1
32,2,27,70,2,-1,-1
3,4,19,42,2,-1,-1
4,3,19,42,2,-1,-1
3,12,18,94,2,-1,-1
12,3,18,94,2,-1,-1
3,14,4,67,2,-1,-1
14,3,4,67,2,-1,-1
3,20,19,55,2,-1,-1
20,3,19,55,2,-1,-1
3,21,14,27,2,-1,-1
